epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3984,0.5172,2.1965,0.93893,0.67843,0.8623,0.74736,0.67967,0.44292,1.9379,0.827,0.000411822,0.000411822,0.000411822
2,60.1993,0.50324,1.42038,0.9003,0.63919,0.76184,0.71738,0.62234,0.53323,1.92974,0.8681,0.000787478,0.000787478,0.000787478
3,87.9412,0.50032,1.18154,0.90541,0.69064,0.78988,0.75643,0.66416,0.50094,1.09624,0.84016,0.00112188,0.00112188,0.00112188
4,115.612,0.49173,1.01166,0.89955,0.56369,0.73928,0.68712,0.62462,0.47357,1.36924,0.83502,0.00106437,0.00106437,0.00106437
5,143.569,0.47824,0.8632,0.891,0.43179,0.7672,0.7263,0.65723,0.43669,1.5316,0.82183,0.0010025,0.0010025,0.0010025
6,171.291,0.48489,0.79415,0.8917,0.6996,0.76449,0.79765,0.73024,0.40955,1.0233,0.81747,0.000940625,0.000940625,0.000940625
7,198.778,0.44159,0.67541,0.87855,0.59215,0.7871,0.7148,0.64874,0.43276,1.29986,0.81617,0.00087875,0.00087875,0.00087875
8,226.078,0.4471,0.67866,0.88165,0.51796,0.77006,0.72423,0.66179,0.41349,1.31937,0.81661,0.000816875,0.000816875,0.000816875
9,253.458,0.4388,0.61383,0.87766,0.74289,0.78606,0.77515,0.71609,0.4184,0.89505,0.81436,0.000755,0.000755,0.000755
10,281.103,0.4393,0.59735,0.88645,0.81607,0.52441,0.76147,0.70851,0.42577,1.95604,0.81631,0.000693125,0.000693125,0.000693125
11,310.288,0.36323,0.52701,0.82308,0.7596,0.68764,0.76763,0.71049,0.40528,1.22636,0.81256,0.00063125,0.00063125,0.00063125
12,336.861,0.36854,0.45816,0.82405,0.6121,0.63114,0.59886,0.55584,0.41703,1.94341,0.81558,0.000569375,0.000569375,0.000569375
13,364.906,0.35109,0.41278,0.82463,0.67149,0.74203,0.73204,0.68308,0.39656,1.47071,0.8066,0.0005075,0.0005075,0.0005075
14,391.535,0.34835,0.405,0.82032,0.60976,0.85185,0.77189,0.71743,0.39705,1.14912,0.80757,0.000445625,0.000445625,0.000445625
15,418.187,0.33791,0.35709,0.82488,0.61415,0.8051,0.76554,0.71245,0.39054,1.29725,0.80674,0.00038375,0.00038375,0.00038375
16,443.66,0.32814,0.32133,0.80588,0.60996,0.73114,0.75682,0.70423,0.39491,1.61495,0.80863,0.000321875,0.000321875,0.000321875
17,469.745,0.32126,0.30947,0.81124,0.57558,0.69813,0.74864,0.7019,0.39736,1.759,0.80728,0.00026,0.00026,0.00026
18,495.952,0.31754,0.28621,0.80823,0.65344,0.79299,0.79124,0.73855,0.39068,1.15866,0.80614,0.000198125,0.000198125,0.000198125
19,522.255,0.30393,0.26173,0.80659,0.59652,0.81027,0.80922,0.75651,0.39086,1.27027,0.80643,0.00013625,0.00013625,0.00013625
20,548.71,0.29763,0.24587,0.80261,0.58498,0.82262,0.77827,0.72675,0.3882,1.26151,0.8064,7.4375e-05,7.4375e-05,7.4375e-05
